Transcript ID	Locus ID	Entrez Arabidopsis ID	Col_Shoot_baseMeanB_GC	Col_Shoot_baseMeanA_FL	Col_Shoot_log2FoldChange	Col_Shoot_pval	Col_Shoot_padj	Symbol
AT1G01110.2	AT1G01110	839394	38.15216758	22.6093985	0.754842414	0.040740364	1	IQD18
AT1G01470.1	AT1G01470	837071	767.7213958	1387.783234	-0.854127481	0.00143276	0.271350922	LSR3
AT1G02030.1	AT1G02030	839285	4.398266105	0.332160952	3.726980504	0.049490314	1	zinc finger
AT1G02220.1	AT1G02220	839476	149.1686568	64.18639212	1.216605054	0.001000162	0.218652623	ANAC003
AT1G02360.1	AT1G02360	837724	89.90433728	10.82557848	3.053946599	3.56E-05	0.017991518	chitinase
AT1G02440.1	AT1G02440	839230	18.65780362	6.832570333	1.449278853	0.04553409	1	ARFD1A
AT1G02460.1	AT1G02460	839443	26.02884283	12.13835394	1.100538381	0.034645545	1	pectinase
AT1G02520.1	AT1G02520	839353	73.7778753	14.66438057	2.330872109	8.43E-08	0.000164372	PGP11
AT1G02920.1	AT1G02920	839295	4244.609664	931.9111415	2.187367585	0.010183654	0.858724514	GSTF7
AT1G03850.2	AT1G03850	839392	141.2961635	66.56570785	1.085871243	0.046717615	1	glutaredoxin
AT1G04540.1	AT1G04540	839498	34.62498469	63.61287053	-0.877505256	0.020934273	1	C2
AT1G04600.1	AT1G04600	839480	48.05022958	15.09405037	1.67056333	0.000206424	0.073845489	XIA
AT1G04980.1	AT1G04980	839355	516.3608791	320.2670665	0.689104251	0.01037149	0.86631295	PDI10
AT1G05680.1	AT1G05680	837075	43.82673053	12.23483785	1.840816076	0.036221602	1	glucosyl transferase
AT1G05700.1	AT1G05700	837077	56.10027701	14.02831391	1.999666275	0.006696258	0.662443213	kinase
AT1G05880.1	AT1G05880	837098	26.51265583	3.708735553	2.837681888	0.005012611	0.542080042	binding
AT1G05880.2	AT1G05880	837098	26.51265583	4.040896505	2.713933888	0.007737427	0.727788984	binding
AT1G06640.1	AT1G06640	837173	1210.591681	1898.085211	-0.648832418	0.031062234	1	2-oxoglutarate-dependent dioxygenase
AT1G06640.2	AT1G06640	837173	1146.171356	1795.807673	-0.647810101	0.03008632	1	2-oxoglutarate-dependent dioxygenase
