"input" "reason" "matches" "primaryIdentifier" "symbol" "briefDescription" "class" "isObsolete"
"AT5G09711" "MATCH" "1" "AT5G09711" "AT5G09711" "transmembrane protein" "Gene" ""
"AT5G09710" "MATCH" "1" "AT5G09710" "AT5G09710" "Magnesium transporter CorA-like family protein" "Pseudogene" ""
"AT1G23730" "MATCH" "1" "AT1G23730" "BCA3" "beta carbonic anhydrase 3" "Gene" ""
"AT4G30670" "MATCH" "1" "AT4G30670" "AT4G30670" "Putative membrane lipoprotein" "Gene" ""
"AT5G59670" "MATCH" "1" "AT5G59670" "AT5G59670" "Leucine-rich repeat protein kinase family protein" "Gene" ""
"AT2G19190" "MATCH" "1" "AT2G19190" "FRK1" "FLG22-induced receptor-like kinase 1" "Gene" ""
"AT1G36622" "MATCH" "1" "AT1G36622" "AT1G36622" "transmembrane protein" "Gene" ""
"ATMG00030" "MATCH" "1" "ATMG00030" "ORF107A" "hypothetical protein" "Gene" ""
"AT4G35770" "MATCH" "1" "AT4G35770" "SEN1" "Rhodanese/Cell cycle control phosphatase superfamily protein" "Gene" ""
"AT3G16550" "MATCH" "1" "AT3G16550" "DEG12" "protease Do-like protein" "Gene" ""
"AT3G43460" "MATCH" "1" "AT3G43460" "AT3G43460" "transposable_element_gene" "TransposableElementGene" ""
"AT3G45520" "MATCH" "1" "AT3G45520" "AT3G45520" "transposable_element_gene" "TransposableElementGene" ""
"AT1G48980" "MATCH" "1" "AT1G48980" "AT1G48980" "2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein" "Gene" ""
"AT1G60750" "MATCH" "1" "AT1G60750" "AT1G60750" "NAD(P)-linked oxidoreductase superfamily protein" "Gene" ""
"AT1G32970" "MATCH" "1" "AT1G32970" "AT1G32970" "Subtilisin-like serine endopeptidase family protein" "Gene" ""
"AT1G02920" "MATCH" "1" "AT1G02920" "GSTF7" "glutathione S-transferase 7" "Gene" ""
"AT1G58983" "MATCH" "1" "AT1G58983" "AT1G58983" "Ribosomal protein S5 family protein" "Gene" ""
"AT3G44470" "MATCH" "1" "AT3G44470" "AT3G44470" "transposable_element_gene" "TransposableElementGene" ""
"AT1G48800" "MATCH" "1" "AT1G48800" "AT1G48800" "Terpenoid cyclases/Protein prenyltransferases superfamily protein" "Gene" ""
"AT4G16550" "MATCH" "1" "AT4G16550" "AT4G16550" "HSP20-like chaperone" "Gene" ""
"AT3G54530" "MATCH" "1" "AT3G54530" "AT3G54530" "hypothetical protein" "Gene" ""
"AT3G42480" "MATCH" "1" "AT3G42480" "AT3G42480" "transposable_element_gene" "TransposableElementGene" ""
"AT1G49570" "MATCH" "1" "AT1G49570" "AT1G49570" "Peroxidase superfamily protein" "Gene" ""
"AT3G42340" "MATCH" "1" "AT3G42340" "AT3G42340" "transposable_element_gene" "TransposableElementGene" ""
"AT5G42600" "MATCH" "1" "AT5G42600" "MRN1" "marneral synthase" "Gene" ""
"AT5G42580" "MATCH" "1" "AT5G42580" "CYP705A12" "cytochrome P450, family 705, subfamily A, polypeptide 12" "Gene" ""
"AT4G37290" "MATCH" "1" "AT4G37290" "AT4G37290" "transmembrane protein" "Gene" ""
"AT3G25180" "MATCH" "1" "AT3G25180" "CYP82G1" "cytochrome P450, family 82, subfamily G, polypeptide 1" "Gene" ""
"AT3G42206" "MATCH" "1" "AT3G42206" "AT3G42206" "transposable_element_gene" "TransposableElementGene" ""
