Locus ID	Transcript ID	Entrez Arabidopsis ID	rbohD_shoot_log2FoldChange	rbohD_shoot_pval	rbohD_shoot_padj	rbohD_shoot_bsaeMean_FL	rbohD_shoot_baseMean_GC	Symbol
AT1G01370	AT1G01370.1	839104	-0.608893765	0.043934712	1	80.46151102	52.75855554	HTR12
AT1G01370	AT1G01370.2	839104	-0.612018196	0.045044193	1	79.84966539	52.24410162	HTR12
AT1G01380	AT1G01380.1	838096	-1.533097277	0.032457945	1	14.35086704	4.958723287	ETC1
AT1G02340	AT1G02340.1	839300	1.431631613	0.001027686	0.567684603	29.04223944	78.3419108	RSF1
AT1G02530	AT1G02530.1	839282	-1.411574234	0.026350201	1	14.64341168	5.504477321	PGP12
AT1G03780	AT1G03780.3	839140	-0.474673097	0.049831677	1	651.5157762	468.8501898	TPX2
AT1G03870	AT1G03870.1	839384	0.495769812	0.029862892	1	2077.95222	2930.064238	FLA9
AT1G04240	AT1G04240.1	839570	0.577483717	0.02861031	1	410.8741382	613.1245798	SHY2
AT1G05490	AT1G05490.1	837051	-0.986270754	0.019027442	1	37.39116422	18.87434577	chr31
AT1G05950	AT1G05950.1	837105	-0.56954287	0.048025106	1	165.7663166	111.6983608	-
AT1G06640	AT1G06640.1	837173	-0.530993834	0.048423123	1	1922.467709	1330.497253	2-oxoglutarate-dependent dioxygenase
AT1G06640	AT1G06640.2	837173	-0.526860737	0.047737055	1	1817.725899	1261.616934	2-oxoglutarate-dependent dioxygenase
AT1G06640	AT1G06640.3	837173	-0.530219518	0.049267014	1	1910.793458	1323.127715	2-oxoglutarate-dependent dioxygenase
AT1G07550	AT1G07550.1	837269	-	0.011843678	1	4.850367281	0	kinase
AT1G07610	AT1G07610.1	837274	-0.9261089	0.037811167	1	131.1764002	69.03497158	MT1C
AT1G08250	AT1G08250.1	837345	0.427786353	0.029558705	1	126.6951115	170.4262084	ADT6
AT1G08315	AT1G08315.1	837352	0.639261552	0.026205946	1	51.49860787	80.21071572	armadillo/beta-catenin repeat
AT1G08450	AT1G08450.1	837365	0.628170987	0.01656188	1	1498.599363	2316.241579	CRT3
AT1G08450	AT1G08450.2	837365	0.635618955	0.015417137	1	1348.845569	2095.572066	CRT3
AT1G08450	AT1G08450.3	837365	0.625453202	0.016970646	1	1383.141093	2133.765353	CRT3
AT1G08650	AT1G08650.1	837387	0.475346712	0.037797619	1	457.9775949	636.7043994	PPCK1
AT1G08650	AT1G08650.2	837387	0.505689282	0.025168539	1	369.2210099	524.220558	PPCK1
AT1G08830	AT1G08830.1	837405	-1.371460865	#################	0.001365099	5104.118086	1972.740021	CSD1
