Locus ID	Transcript ID	Entrez Arabidopsis ID	Col_Root_baseMeanB_GC	Col_Root_baseMeanA_FL	Col_Root_log2FoldChange	Col_Root_pval	Col_Root_padj	Symbol
AT1G01070	AT1G01070.1	839550	268.0445172	181.32068	0.563929149	0.037821118	1	nodulin MtN21
AT1G01070	AT1G01070.2	839550	252.7529698	171.9880177	0.555419988	0.043358554	1	nodulin MtN21
AT1G01180	AT1G01180.1	839239	69.8032789	105.4369573	-0.595013931	0.042003582	1	-
AT1G01470	AT1G01470.1	837071	872.9608841	569.1842284	0.617021324	0.007463662	0.66587822	LSR3
AT1G01600	AT1G01600.1	839347	135.5661691	85.6717033	0.662106518	0.0317758	1	CYP86A4
AT1G01680	AT1G01680.1	839251	13.25729827	0.138255765	6.583303346	0.001861005	0.286213267	U-box
AT1G02220	AT1G02220.1	839476	574.654054	324.0971002	0.826267592	0.018011388	1	ANAC003
AT1G02340	AT1G02340.1	839300	60.97650024	107.2977822	-0.815295003	0.012719379	0.899088871	RSF1
AT1G02520	AT1G02520.1	839353	675.7505674	390.8607455	0.789836117	0.023040184	1	PGP11
AT1G02530	AT1G02530.1	839282	71.54623333	43.23094576	0.726811417	0.042063017	1	PGP12
AT1G02850	AT1G02850.1	839435	546.3259618	104.5046597	2.386194712	5.92E-06	0.005062807	BGLU11
AT1G02850	AT1G02850.2	839435	554.7184181	106.8774034	2.375798764	6.17E-06	0.005156658	BGLU11
AT1G02850	AT1G02850.3	839435	546.7422474	104.6120674	2.385811577	5.80E-06	0.005062807	BGLU11
AT1G02850	AT1G02850.4	839435	544.8630613	106.0209414	2.361544432	6.62E-06	0.005289532	BGLU11
AT1G02850	AT1G02850.5	839435	544.8630613	105.8826856	2.363426995	6.49E-06	0.005289532	BGLU11
AT1G02920	AT1G02920.1	839295	1226.154436	326.5850835	1.908609897	0.019325724	1	GSTF7
AT1G02930	AT1G02930.1	839515	778.758606	177.0261267	2.137213903	0.007253592	0.655086686	GSTF6
AT1G02930	AT1G02930.2	839515	771.5619512	175.9931292	2.132262893	0.007363458	0.662022203	GSTF6
AT1G03710	AT1G03710.1	839427	3.582943622	10.03921101	-1.486428643	0.041893079	1	-
AT1G04310	AT1G04310.1	839549	196.5951931	133.7102443	0.556118045	0.0300147	1	ERS2
AT1G04350	AT1G04350.1	839542	47.89132457	86.01185127	-0.844771119	0.037297539	1	2-oxoglutarate-dependent dioxygenase
AT1G04770	AT1G04770.1	839418	421.6855006	246.3148686	0.775663699	0.0015834	0.26821511	male sterility MS5
AT1G05650	AT1G05650.1	837072	74.78493639	6.875061766	3.443303124	1.77E-07	0.000293062	pectinase
AT1G05680	AT1G05680.1	837075	120.3622168	32.69190353	1.880377295	0.003214503	0.404642066	glucosyl transferase
AT1G05835	AT1G05835.1	5007665	61.50236626	99.17662362	-0.689358193	0.01976565	1	-
AT1G05880	AT1G05880.1	837098	26.98654405	3.15452897	3.096743729	0.000323191	0.098177838	binding
AT1G05880	AT1G05880.2	837098	27.14093176	3.292784735	3.043090145	0.000438698	0.11355797	binding
AT1G06080	AT1G06080.1	837117	122.4321271	55.65537559	1.137389237	0.004867958	0.526269173	ADS1
AT1G06830	AT1G06830.1	837195	33.15449708	16.67151236	0.991819586	0.003495063	0.425390817	glutaredoxin
AT1G07550	AT1G07550.1	837269	13.54272913	95.29367271	-2.814861926	0.00824858	0.704291332	kinase
AT1G08050	AT1G08050.1	837321	127.0842186	81.00129759	0.649767963	0.022369983	1	zinc finger
AT1G08090	AT1G08090.1	837327	562.0992326	49.4799906	3.505907714	7.76E-06	0.005591295	NRT2;1AT
AT1G08430	AT1G08430.1	837363	411.8722391	2447.777434	-2.571203591	0.000104689	0.038869141	ALMT1
AT1G08650	AT1G08650.1	837387	1361.23783	960.934383	0.502409325	0.041295622	1	PPCK1
AT1G08650	AT1G08650.2	837387	1171.812337	836.9701765	0.485493422	0.04978178	1	PPCK1
AT1G08830	AT1G08830.1	837405	6424.122624	9015.082626	-0.488841283	0.0474061	1	CSD1
AT1G08830	AT1G08830.2	837405	6423.876442	9014.655794	-0.488828262	0.047409777	1	CSD1
AT1G09750	AT1G09750.1	837504	307.9451226	542.9312186	-0.818096163	0.045700745	1	chloroplast nucleoid DNA-binding
AT1G09935	AT1G09935.1	837527	1.322433107	0	Inf	0.048219148	1	phosphoglycerate/bisphosphoglycerate mutase
AT1G10120	AT1G10120.1	837549	696.6268209	988.3080891	-0.50457483	0.040368139	1	TF
AT1G10640	AT1G10640.1	837607	111.8352412	179.7649525	-0.684736899	0.027650318	1	polygalacturonase
AT1G11080	AT1G11080.1	837649	2126.706815	578.5316227	1.878153434	1.58E-06	0.001821258	scpl31
AT1G11080	AT1G11080.2	837649	2105.776536	573.6030846	1.876227659	1.63E-06	0.001821258	scpl31
AT1G11330	AT1G11330.1	837675	488.4047755	299.4878194	0.705579979	0.01490659	0.976796921	kinase
AT1G11330	AT1G11330.2	837675	487.5432742	299.4155867	0.703380952	0.015365046	0.998544824	kinase
AT1G11740	AT1G11740.1	837718	15.95339094	28.59819615	-0.842061045	0.044923709	1	ankyrin repeat
AT1G12030	AT1G12030.1	837755	3.476855037	0	Inf	0.03000643	1	-
AT1G12110	AT1G12110.1	837763	1689.194816	4456.249765	-1.399494371	1.51E-08	3.61E-05	NRT1
AT1G12200	AT1G12200.1	837773	1064.569703	480.881326	1.146517606	0.00107121	0.215160919	FMO
AT1G12320	AT1G12320.1	837786	31.59172356	14.59273917	1.114295936	0.0077208	0.675698702	-
AT1G13080	AT1G13080.1	837865	185.5665143	411.3816141	-1.148540919	7.99E-05	0.032662045	CYP71B2
AT1G13080	AT1G13080.2	837865	187.0389654	414.7398112	-1.148867684	7.74E-05	0.032662045	CYP71B2
AT1G13300	AT1G13300.1	837890	220.7050246	547.6511484	-1.31113772	0.03802401	1	myb
AT1G13430	AT1G13430.1	837903	63.44431369	103.8985971	-0.711613404	0.029217931	1	ST4C
AT1G14290	AT1G14290.1	837990	464.8016292	681.8713256	-0.552884391	0.02345844	1	SBH2
AT1G16910	AT1G16910.1	838262	0	1.590347426	-	0.031827233	1	LSH8
AT1G16930	AT1G16930.1	838264	156.4651614	255.9456492	-0.70999602	0.005811455	0.57732876	F-box
AT1G17170	AT1G17170.1	838288	505.6525623	222.9625833	1.181344816	0.000821499	0.178673564	GST
AT1G17180	AT1G17180.1	838289	249.9653761	66.15934409	1.917711437	0.008241145	0.704291332	GSTU25
